algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Token Bucket,constant,1500000,1500000,0,1.0000,28047927.19,38.88,41.00,42.00,83.00,125.00,5291.00,55308289,27654,0.1961,1.0000,0
Token Bucket,burst,50000,50000,0,1.0000,25299514.88,40.54,42.00,42.00,83.00,125.00,60583.00,2896105,1448,0.1088,1.0000,0
Token Bucket,periodic_burst,750000,750000,0,1.0000,17996283.27,66.48,42.00,42.00,84.00,166.00,6606167.00,29182712,14591,0.2004,1.0000,0
Token Bucket,random,1501399,1501399,0,1.0000,16606933.31,44.54,42.00,42.00,83.00,166.00,661583.00,56467465,28233,0.2418,1.0000,0
Token Bucket,spike,195001,195001,0,1.0000,17919141.69,55.98,42.00,42.00,84.00,166.00,34125.00,887329,443,0.1211,1.0000,0
Token Bucket,multi_client,1506750,1506750,0,1.0000,4425825.56,1016.29,84.00,166.00,167.00,292.00,289434125.00,1152539,576,0.2506,0.9614,0
Token Bucket,adversarial,1500000,750750,749250,0.5005,18186827.97,67.55,42.00,83.00,84.00,167.00,37750.00,1048924,524,0.1928,1.0000,0
Token Bucket,idle_then_burst,28001,28001,0,1.0000,27005719.67,37.16,42.00,42.00,83.00,125.00,9375.00,1048819,524,0.1088,1.0000,0
Token Bucket,chronic_edge_rider,1469650,1469650,0,1.0000,16368514.86,45.25,42.00,42.00,84.00,166.00,662000.00,1042625,521,0.2029,1.0000,0
Token Bucket,repeated_burst_abuser,2250000,1520000,730000,0.6756,19321387.82,76.57,42.00,83.00,84.00,167.00,17773875.00,983924,491,0.2262,1.0000,0
