algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Sliding Window Counter,constant,1500000,1498578,1422,0.9991,22635111.29,37.16,41.00,42.00,83.00,84.00,63250.00,55380268,27690,0.2069,1.0000,0
Sliding Window Counter,burst,50000,50000,0,1.0000,28228559.42,37.13,42.00,42.00,83.00,84.00,20709.00,2924561,1462,0.1130,1.0000,0
Sliding Window Counter,periodic_burst,750000,750000,0,1.0000,24545455.75,48.57,41.00,42.00,83.00,84.00,44541.00,29227788,14613,0.2082,1.0000,0
Sliding Window Counter,random,1501399,1495092,6307,0.9958,20588742.57,38.62,41.00,42.00,83.00,84.00,88041.00,56440254,28220,0.2326,1.0000,0
Sliding Window Counter,spike,195001,194995,6,1.0000,22141747.84,43.78,41.00,42.00,83.00,84.00,50084.00,983932,491,0.1252,1.0000,0
Sliding Window Counter,multi_client,1506750,1506750,0,1.0000,8676197.78,101.49,83.00,125.00,166.00,209.00,15125.00,1144476,572,0.2594,0.9614,0
Sliding Window Counter,adversarial,1500000,750000,750000,0.5000,24772930.83,36.85,42.00,42.00,83.00,84.00,22083.00,1002755,501,0.1826,1.0000,0
Sliding Window Counter,idle_then_burst,28001,28001,0,1.0000,31004686.20,32.52,41.00,42.00,83.00,84.00,73083.00,1048819,524,0.1071,1.0000,0
Sliding Window Counter,chronic_edge_rider,1469650,1469650,0,1.0000,20797383.40,39.73,42.00,42.00,83.00,125.00,62625.00,1025843,512,0.2058,1.0000,0
Sliding Window Counter,repeated_burst_abuser,2250000,1077423,1172577,0.4789,22838597.30,38.26,42.00,42.00,83.00,84.00,75667.00,1046632,523,0.2229,1.0000,0
