algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Fixed Window,constant,1500000,1500000,0,1.0000,19321421.81,40.56,42.00,42.00,83.00,84.00,92458.00,55268324,27634,0.1760,1.0000,0
Fixed Window,burst,50000,50000,0,1.0000,31747996.67,31.81,41.00,42.00,83.00,84.00,10292.00,2943732,1471,0.1134,1.0000,0
Fixed Window,periodic_burst,750000,750000,0,1.0000,24441236.41,35.89,41.00,42.00,83.00,84.00,23208.00,29258608,14629,0.2190,1.0000,0
Fixed Window,random,1501399,1497635,3764,0.9975,22313723.29,36.63,41.00,42.00,83.00,84.00,495125.00,56514201,28257,0.2176,1.0000,0
Fixed Window,spike,195001,195000,1,1.0000,21939248.90,62.51,41.00,42.00,83.00,84.00,56292.00,1113825,556,0.1283,1.0000,0
Fixed Window,multi_client,1506750,1506750,0,1.0000,6534406.14,217.75,83.00,125.00,167.00,209.00,121625.00,1139142,569,0.2672,0.9614,0
Fixed Window,adversarial,1500000,1500000,0,1.0000,21554692.71,36.99,41.00,42.00,83.00,84.00,105792.00,998580,499,0.1935,1.0000,0
Fixed Window,idle_then_burst,28001,28001,0,1.0000,33065760.79,30.46,41.00,42.00,42.00,84.00,14458.00,1013169,506,0.1203,1.0000,0
Fixed Window,chronic_edge_rider,1469650,1469650,0,1.0000,26393574.08,36.94,41.00,42.00,83.00,84.00,7583.00,1048900,524,0.2091,1.0000,0
Fixed Window,repeated_burst_abuser,2250000,1450000,800000,0.6444,25372137.57,35.57,41.00,42.00,83.00,84.00,6750.00,952457,476,0.2227,1.0000,0
