algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (v2-adaptive),constant,30000,30000,0,1.0000,10922077.54,103.71,83.00,125.00,167.00,291.00,736000.00,2068062,206806,0.0962,1.0000,0
Custom (v2-adaptive),burst,1000,428,572,0.4280,5274054.77,348.61,458.00,500.00,500.00,583.00,34666.00,1086048,108604,0.1064,1.0000,0
Custom (v2-adaptive),periodic_burst,15000,14928,72,0.9952,13304071.03,75.18,42.00,166.00,167.00,167.00,18084.00,1613432,161343,0.1027,1.0000,0
Custom (v2-adaptive),random,30095,30095,0,1.0000,13367997.48,74.82,42.00,125.00,167.00,167.00,18958.00,2138624,213862,0.1021,1.0000,0
Custom (v2-adaptive),spike,3900,3900,0,1.0000,11392768.65,89.92,83.00,125.00,166.00,208.00,77791.00,1190568,119056,0.1014,1.0000,0
Custom (v2-adaptive),multi_client,57000,57000,0,1.0000,14868571.93,67.28,42.00,125.00,166.00,167.00,14459.00,3158968,315896,0.0993,0.3312,0
Custom (v2-adaptive),adversarial,30000,15844,14156,0.5281,12845490.82,77.87,42.00,166.00,167.00,208.00,25625.00,1048616,104861,0.1012,1.0000,0
Custom (v2-adaptive),idle_then_burst,1501,1501,0,1.0000,10448663.10,95.79,83.00,166.00,167.00,208.00,24625.00,1048616,104861,0.1051,1.0000,0
Custom (v2-adaptive),chronic_edge_rider,29337,29337,0,1.0000,12542825.72,79.74,83.00,166.00,167.00,167.00,17417.00,1048616,104861,0.0969,1.0000,0
Custom (v2-adaptive),repeated_burst_abuser,45000,29880,15120,0.6640,13649154.85,73.31,42.00,125.00,166.00,167.00,19875.00,1048611,104861,0.1028,1.0000,0
