algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Sliding Window Log,constant,30000,30000,0,1.0000,20581622.22,48.77,42.00,83.00,84.00,125.00,17875.00,2177104,217710,0.1020,1.0000,0
Sliding Window Log,burst,1000,1000,0,1.0000,19218175.61,52.13,42.00,83.00,83.00,84.00,12083.00,1110040,111004,0.1041,1.0000,0
Sliding Window Log,periodic_burst,15000,15000,0,1.0000,22694231.27,44.07,42.00,83.00,83.00,84.00,11417.00,1637424,163742,0.1028,1.0000,0
Sliding Window Log,random,30095,29253,842,0.9720,18887856.65,52.96,42.00,84.00,125.00,167.00,17208.00,2184024,218402,0.1015,1.0000,0
Sliding Window Log,spike,3900,3900,0,1.0000,19010730.81,54.49,42.00,84.00,84.00,208.00,30583.00,1195355,119535,0.1004,1.0000,0
Sliding Window Log,multi_client,57000,57000,0,1.0000,23745721.35,42.11,42.00,83.00,83.00,84.00,10375.00,3250088,325008,0.1002,0.3312,0
Sliding Window Log,adversarial,30000,15000,15000,0.5000,24893328.45,40.18,42.00,83.00,83.00,84.00,11584.00,1048803,104880,0.0968,1.0000,0
Sliding Window Log,idle_then_burst,1501,1501,0,1.0000,20609573.67,48.55,42.00,83.00,84.00,84.00,11042.00,1048808,104880,0.1038,1.0000,0
Sliding Window Log,chronic_edge_rider,29337,29079,258,0.9912,19230349.32,52.03,42.00,84.00,125.00,167.00,13959.00,1048808,104880,0.1011,1.0000,0
Sliding Window Log,repeated_burst_abuser,45000,25000,20000,0.5556,24165926.13,41.43,42.00,83.00,83.00,84.00,12583.00,1048808,104880,0.1024,1.0000,0
