algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (burst-matched),constant,30000,30000,0,1.0000,10345479.86,101.07,83.00,125.00,125.00,250.00,123708.00,2194126,219412,0.1040,1.0000,0
Custom (burst-matched),burst,1000,428,572,0.4280,10784681.82,95.08,42.00,125.00,167.00,209.00,44083.00,1086048,108604,0.1041,1.0000,0
Custom (burst-matched),periodic_burst,15000,14928,72,0.9952,18285035.24,54.71,42.00,84.00,84.00,167.00,15000.00,1613432,161343,0.1027,1.0000,0
Custom (burst-matched),random,30095,30095,0,1.0000,16829096.48,59.42,42.00,125.00,166.00,167.00,18709.00,2138624,213862,0.1012,1.0000,0
Custom (burst-matched),spike,3900,3900,0,1.0000,17018799.57,58.77,42.00,84.00,84.00,125.00,18000.00,1127649,112764,0.1038,1.0000,0
Custom (burst-matched),multi_client,57000,57000,0,1.0000,16719993.20,59.94,42.00,84.00,125.00,167.00,13167.00,3158963,315896,0.1007,0.3312,0
Custom (burst-matched),adversarial,30000,14444,15556,0.4815,16252448.71,61.62,42.00,125.00,166.00,167.00,40917.00,1048640,104864,0.1018,1.0000,0
Custom (burst-matched),idle_then_burst,1501,1501,0,1.0000,14873798.85,68.30,42.00,84.00,125.00,167.00,15916.00,1048640,104864,0.1035,1.0000,0
Custom (burst-matched),chronic_edge_rider,29337,29337,0,1.0000,16726561.78,59.79,42.00,84.00,125.00,167.00,16958.00,1048640,104864,0.1010,1.0000,0
Custom (burst-matched),repeated_burst_abuser,45000,30513,14487,0.6781,13415017.59,74.56,42.00,125.00,167.00,167.00,15166.00,1048640,104864,0.1002,1.0000,0
