algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Token Bucket,constant,30000,30000,0,1.0000,24918466.69,40.16,42.00,83.00,125.00,167.00,36084.00,2129118,212911,0.1084,1.0000,0
Leaky Bucket,constant,30000,30000,0,1.0000,28431700.36,35.66,41.00,42.00,84.00,167.00,31500.00,2129088,212908,0.1115,1.0000,0
Fixed Window,constant,30000,30000,0,1.0000,29819387.84,33.58,41.00,83.00,83.00,84.00,24167.00,2129088,212908,0.1047,1.0000,0
Sliding Window Log,constant,30000,30000,0,1.0000,20581622.22,48.77,42.00,83.00,84.00,125.00,17875.00,2177104,217710,0.1020,1.0000,0
Sliding Window Counter,constant,30000,29985,15,0.9995,27375787.59,36.53,42.00,42.00,83.00,84.00,11125.00,2066177,206617,0.1014,1.0000,0
Custom (proportional),constant,30000,30000,0,1.0000,18573659.69,54.07,42.00,84.00,125.00,167.00,26459.00,2129112,212911,0.1017,1.0000,0
Custom (burst-matched),constant,30000,30000,0,1.0000,10345479.86,101.07,83.00,125.00,125.00,250.00,123708.00,2194126,219412,0.1040,1.0000,0
Custom (v2-adaptive),constant,30000,30000,0,1.0000,10922077.54,103.71,83.00,125.00,167.00,291.00,736000.00,2068062,206806,0.0962,1.0000,0
Token Bucket,burst,1000,1000,0,1.0000,18199440.17,55.34,42.00,83.00,125.00,167.00,14583.00,1086024,108602,0.1013,1.0000,0
Leaky Bucket,burst,1000,1000,0,1.0000,19244856.04,52.30,42.00,83.00,125.00,167.00,12208.00,1086014,108601,0.0934,1.0000,0
Fixed Window,burst,1000,1000,0,1.0000,23269785.54,43.03,42.00,83.00,84.00,84.00,12709.00,1086024,108602,0.1037,1.0000,0
Sliding Window Log,burst,1000,1000,0,1.0000,19218175.61,52.13,42.00,83.00,83.00,84.00,12083.00,1110040,111004,0.1041,1.0000,0
