algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (proportional),constant,30000,30000,0,1.0000,18573659.69,54.07,42.00,84.00,125.00,167.00,26459.00,2129112,212911,0.1017,1.0000,0
Custom (proportional),burst,1000,333,667,0.3330,4782207.63,395.48,458.00,583.00,625.00,1042.00,43584.00,1086043,108604,0.1064,1.0000,0
Custom (proportional),periodic_burst,15000,14833,167,0.9889,18512916.43,54.07,42.00,83.00,84.00,167.00,15209.00,1613432,161343,0.1029,1.0000,0
Custom (proportional),random,30095,30095,0,1.0000,15962424.50,63.29,42.00,125.00,125.00,167.00,17500.00,2138624,213862,0.1015,1.0000,0
Custom (proportional),spike,3900,3900,0,1.0000,17088120.13,58.69,42.00,84.00,84.00,167.00,18625.00,1190568,119056,0.1033,1.0000,0
Custom (proportional),multi_client,57000,57000,0,1.0000,16213337.89,61.94,42.00,84.00,125.00,167.00,13666.00,3158968,315896,0.0998,0.3312,0
Custom (proportional),adversarial,30000,11240,18760,0.3747,15678055.43,64.24,42.00,125.00,166.00,167.00,21250.00,1048640,104864,0.1008,1.0000,0
Custom (proportional),idle_then_burst,1501,1501,0,1.0000,14041835.35,73.58,42.00,84.00,125.00,167.00,15625.00,1048635,104863,0.0989,1.0000,0
Custom (proportional),chronic_edge_rider,29337,29337,0,1.0000,16327194.19,61.42,42.00,125.00,125.00,167.00,17250.00,1048640,104864,0.1010,1.0000,0
Custom (proportional),repeated_burst_abuser,45000,29733,15267,0.6607,17172328.33,58.26,42.00,84.00,125.00,167.00,18125.00,1048635,104863,0.0957,1.0000,0
